class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
comestible,convexa,fibrosa,amarillo,magulladuras,almendra,libre,apretado,angosto,rosa,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,campana,lisa,amarillo,magulladuras,anís,libre,cercano,ancho,negro,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,praderas
comestible,campana,escamosa,amarillo,magulladuras,almendra,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
comestible,convexa,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,marrón,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,negro,solitaria,senderos
comestible,convexa,fibrosa,marrón,ninguna,ninguno,libre,cercano,angosto,gris,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,solitaria,urbano
venenoso,convexa,escamosa,blanco,magulladuras,picante,libre,cercano,angosto,rosa,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,gramíneas
comestible,convexa,lisa,amarillo,magulladuras,almendra,libre,cercano,ancho,blanco,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,numerosa,praderas
comestible,convexa,escamosa,blanco,magulladuras,almendra,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,gramíneas
comestible,convexa,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,negro,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,praderas
comestible,convexa,lisa,blanco,magulladuras,anís,libre,cercano,ancho,blanco,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,praderas
comestible,convexa,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,marrón,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,senderos
comestible,plana,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,blanco,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,senderos
comestible,convexa,escamosa,marrón,magulladuras,almendra,libre,cercano,ancho,blanco,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,gramíneas
comestible,convexa,lisa,blanco,magulladuras,anís,libre,cercano,ancho,negro,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,gramíneas
comestible,campana,lisa,blanco,magulladuras,anís,libre,cercano,ancho,negro,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,praderas
venenoso,convexa,escamosa,marrón,magulladuras,picante,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,urbano
venenoso,convexa,lisa,blanco,magulladuras,picante,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,varias,urbano
comestible,campana,escamosa,amarillo,magulladuras,almendra,libre,cercano,ancho,blanco,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,praderas
comestible,plana,fibrosa,gris,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,campana,lisa,blanco,magulladuras,almendra,libre,cercano,ancho,blanco,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,gramíneas
comestible,convexa,lisa,amarillo,magulladuras,anís,libre,cercano,ancho,negro,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,numerosa,gramíneas
comestible,convexa,escamosa,marrón,magulladuras,almendra,libre,cercano,ancho,rosa,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,negro,solitaria,senderos
comestible,hundida,fibrosa,gris,ninguna,ninguno,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,urbano
comestible,campana,escamosa,amarillo,magulladuras,almendra,libre,cercano,ancho,negro,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,praderas
comestible,campana,lisa,amarillo,magulladuras,anís,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,praderas
comestible,campana,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,praderas
comestible,campana,escamosa,blanco,magulladuras,anís,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
comestible,plana,lisa,marrón,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,convexa,lisa,blanco,magulladuras,anís,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,gramíneas
comestible,plana,escamosa,amarillo,magulladuras,almendra,libre,cercano,ancho,blanco,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
comestible,convexa,escamosa,amarillo,magulladuras,almendra,libre,cercano,ancho,blanco,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,numerosa,gramíneas
comestible,convexa,fibrosa,gris,ninguna,ninguno,libre,cercano,angosto,rosa,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,urbano
comestible,plana,fibrosa,amarillo,magulladuras,anís,libre,apretado,angosto,rosa,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,campana,escamosa,blanco,magulladuras,anís,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,praderas
comestible,plana,fibrosa,amarillo,magulladuras,anís,libre,apretado,angosto,blanco,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,convexa,escamosa,marrón,magulladuras,almendra,libre,cercano,ancho,rosa,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,senderos
comestible,campana,lisa,amarillo,magulladuras,almendra,libre,cercano,ancho,negro,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,gramíneas
comestible,plana,lisa,amarillo,magulladuras,anís,libre,apretado,angosto,rosa,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,convexa,lisa,blanco,magulladuras,anís,libre,apretado,angosto,marrón,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,púrpura,varias,bosques
comestible,plana,escamosa,marrón,magulladuras,anís,libre,cercano,ancho,rosa,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,solitaria,senderos
venenoso,convexa,escamosa,marrón,magulladuras,picante,libre,cercano,angosto,blanco,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,urbano
comestible,plana,escamosa,marrón,magulladuras,almendra,libre,cercano,ancho,marrón,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,solitaria,gramíneas
comestible,convexa,lisa,marrón,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
venenoso,convexa,escamosa,blanco,magulladuras,picante,libre,cercano,angosto,blanco,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,gramíneas
comestible,plana,fibrosa,gris,ninguna,ninguno,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,solitaria,urbano
comestible,convexa,fibrosa,gris,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
comestible,convexa,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,blanco,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,gramíneas
comestible,convexa,lisa,marrón,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,campana,lisa,blanco,magulladuras,almendra,libre,cercano,ancho,blanco,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,gramíneas
comestible,convexa,lisa,blanco,magulladuras,anís,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
comestible,plana,escamosa,marrón,magulladuras,anís,libre,cercano,ancho,blanco,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,negro,solitaria,gramíneas
comestible,hundida,fibrosa,marrón,ninguna,ninguno,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,urbano
comestible,convexa,fibrosa,marrón,ninguna,ninguno,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,solitaria,urbano
comestible,campana,lisa,blanco,magulladuras,anís,libre,cercano,ancho,negro,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,gramíneas
comestible,convexa,escamosa,amarillo,magulladuras,almendra,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,gramíneas
comestible,convexa,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,numerosa,praderas
comestible,convexa,lisa,marrón,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,lisa,blanco,magulladuras,almendra,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
comestible,plana,escamosa,marrón,magulladuras,anís,libre,cercano,ancho,rosa,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
comestible,convexa,lisa,amarillo,magulladuras,almendra,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,numerosa,gramíneas
comestible,campana,lisa,blanco,magulladuras,almendra,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
comestible,convexa,escamosa,blanco,magulladuras,almendra,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,gramíneas
comestible,convexa,fibrosa,marrón,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,campana,lisa,amarillo,magulladuras,anís,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,numerosa,gramíneas
comestible,plana,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,blanco,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
comestible,convexa,escamosa,amarillo,magulladuras,almendra,libre,cercano,ancho,marrón,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,negro,solitaria,senderos
comestible,campana,escamosa,blanco,magulladuras,anís,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,gramíneas
comestible,convexa,escamosa,amarillo,magulladuras,almendra,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,numerosa,praderas
comestible,convexa,escamosa,amarillo,magulladuras,almendra,libre,cercano,ancho,blanco,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,solitaria,gramíneas
comestible,campana,escamosa,blanco,magulladuras,anís,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,praderas
comestible,campana,escamosa,blanco,magulladuras,almendra,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,praderas
comestible,convexa,lisa,amarillo,magulladuras,almendra,libre,cercano,ancho,negro,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,numerosa,praderas
comestible,convexa,lisa,amarillo,magulladuras,anís,libre,cercano,ancho,blanco,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,numerosa,gramíneas
comestible,hundida,fibrosa,gris,ninguna,ninguno,libre,cercano,angosto,gris,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,solitaria,urbano
comestible,convexa,fibrosa,blanco,magulladuras,almendra,libre,apretado,angosto,blanco,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,púrpura,varias,bosques
comestible,convexa,lisa,amarillo,magulladuras,almendra,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,numerosa,praderas
venenoso,convexa,escamosa,blanco,magulladuras,picante,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,urbano
comestible,convexa,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,rosa,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
comestible,hundida,fibrosa,gris,ninguna,ninguno,libre,cercano,angosto,rosa,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,solitaria,urbano
comestible,convexa,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,blanco,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,negro,solitaria,gramíneas
comestible,convexa,lisa,amarillo,magulladuras,anís,libre,apretado,angosto,rosa,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,púrpura,varias,bosques
comestible,hundida,fibrosa,marrón,ninguna,ninguno,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,solitaria,urbano
venenoso,convexa,lisa,blanco,magulladuras,picante,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,varias,gramíneas
comestible,convexa,escamosa,blanco,magulladuras,almendra,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,praderas
venenoso,plana,escamosa,marrón,magulladuras,picante,libre,cercano,angosto,rosa,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,varias,gramíneas
comestible,plana,lisa,gris,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,lisa,amarillo,magulladuras,anís,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,praderas
comestible,convexa,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,campana,lisa,amarillo,magulladuras,almendra,libre,cercano,ancho,blanco,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,gramíneas
comestible,plana,fibrosa,gris,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,lisa,blanco,magulladuras,anís,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,numerosa,gramíneas
comestible,campana,lisa,blanco,magulladuras,anís,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,praderas
comestible,campana,lisa,blanco,magulladuras,anís,libre,cercano,ancho,blanco,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
comestible,campana,escamosa,blanco,magulladuras,anís,libre,cercano,ancho,blanco,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,praderas
comestible,plana,lisa,blanco,magulladuras,anís,libre,apretado,angosto,blanco,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,púrpura,varias,bosques
comestible,convexa,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,praderas
comestible,plana,lisa,blanco,magulladuras,almendra,libre,apretado,angosto,rosa,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,bosques
venenoso,convexa,escamosa,blanco,magulladuras,picante,libre,cercano,angosto,blanco,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,urbano
comestible,plana,fibrosa,blanco,magulladuras,anís,libre,apretado,angosto,blanco,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,convexa,escamosa,amarillo,magulladuras,almendra,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
venenoso,convexa,lisa,marrón,magulladuras,picante,libre,cercano,angosto,rosa,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,gramíneas
comestible,campana,lisa,amarillo,magulladuras,anís,libre,cercano,ancho,blanco,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,gramíneas
comestible,convexa,escamosa,marrón,magulladuras,almendra,libre,cercano,ancho,blanco,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,negro,solitaria,senderos
